,Unnamed: 0,Rooms,Residential complex,City,District,Address,Apartment area,Price,Price/m2,Year,Commissioned/not commissioned,Housing class,Material
0,0,4-комнатной,Anar,г. Астана,Есильский район,ул. Орынбор 13,127 м²,75 000 000,590 551,2023,Сдан,Комфорт,Кирпичные
1,1,2-комнатной,Garden View,г. Астана,Есильский район,ул. Бухар жырау 26 стр,47.68 м²,43 950 000,921 770,2024,Не сдан,Бизнес+,Монолитные
2,2,3-комнатной,Самрук Towers,г. Астана,Нура район,ул. Кайыма Мухамедханова 17,86 м²,38 000 000,441 860,2018,Сдан,Эконом,Монолитные
3,3,1-комнатной,GreenLine.Headliner,г. Астана,Есильский район,ул. Толе би 50,45 м²,37 500 000,833 333,2022,Не сдан,Бизнес,Unknown
4,4,2-комнатной,GreenLine.Flora,г. Астана,Есильский район,ул. Е 900 4,50.1 м²,35 500 000,708 583,2024,Не сдан,Бизнес,Монолитные
5,5,4-комнатной,Abyroi,г. Астана,ул. Т. Рыскулова,Unknown,117.75 м²,61 583 250,523 000,2026,Не сдан,Комфорт,Unknown
6,6,4-комнатной,Abyroi,г. Астана,ул. Т. Рыскулова,Unknown,121.8 м²,65 650 200,539 000,2026,Не сдан,Комфорт,Unknown
7,7,4-комнатной,Abyroi,г. Астана,ул. Т. Рыскулова,Unknown,121.81 м²,67 360 930,553 000,2026,Не сдан,Комфорт,Unknown
8,8,4-комнатной,Abyroi,г. Астана,ул. Т. Рыскулова,Unknown,115.25 м²,62 004 500,538 000,2026,Не сдан,Комфорт,Unknown
9,9,4-комнатной,Abyroi,г. Астана,ул. Т. Рыскулова,Unknown,121.81 м²,67 360 930,553 000,2026,Не сдан,Комфорт,Unknown
10,10,4-комнатной,Abyroi,г. Астана,ул. Т. Рыскулова,Unknown,121.81 м²,67 360 930,553 000,2026,Не сдан,Комфорт,Unknown
11,11,4-комнатной,Abyroi,г. Астана,ул. Т. Рыскулова,Unknown,121.81 м²,67 969 980,558 000,2026,Не сдан,Комфорт,Unknown
12,12,4-комнатной,Abyroi,г. Астана,ул. Т. Рыскулова,Unknown,121.81 м²,68 579 030,563 000,2026,Не сдан,Комфорт,Unknown
13,13,4-комнатной,Abyroi,г. Астана,ул. Т. Рыскулова,Unknown,128.29 м²,72 227 270,563 000,2026,Не сдан,Комфорт,Unknown
14,14,4-комнатной,Abyroi,г. Астана,ул. Т. Рыскулова,Unknown,128.29 м²,72 227 270,563 000,2026,Не сдан,Комфорт,Unknown
15,15,4-комнатной,Abyroi,г. Астана,ул. Т. Рыскулова,Unknown,128.29 м²,71 585 820,558 000,2026,Не сдан,Комфорт,Unknown
16,16,4-комнатной,Abyroi,г. Астана,ул. Т. Рыскулова,Unknown,118.33 м²,60 348 300,510 000,2026,Не сдан,Комфорт,Unknown
17,17,4-комнатной,Abyroi,г. Астана,ул. Т. Рыскулова,Unknown,118.57 м²,62 249 250,525 000,2026,Не сдан,Комфорт,Unknown
18,18,4-комнатной,Abyroi,г. Астана,ул. Т. Рыскулова,Unknown,118.57 м²,62 249 250,525 000,2026,Не сдан,Комфорт,Unknown
